Symbol,Open,High,Low,Close,Volume,Deliverable Volume
ADANIPORTS,739.0,759.45,724.5,730.05,12600934,3514692.0
ASIANPAINT,2595.0,2605.8,2524.05,2536.4,1384907,750496.0
AXISBANK,705.0,729.85,705.0,714.9,23011654,6786072.0
BAJAJ-AUTO,3805.0,3966.35,3800.0,3833.75,1340273,229768.0
BAJAJFINSV,11000.0,11225.0,10868.7,11041.65,835355,129995.0
BAJAUTOFIN,775.55,811.0,760.0,793.6,53183,26118.0
BAJFINANCE,5350.0,5524.65,5327.7,5451.9,4124888,886610.0
BHARTI,350.0,372.0,347.1,365.85,704476,263588.0
BHARTIARTL,533.5,547.0,533.5,536.75,8178192,3045108.0
BPCL,417.5,437.5,414.65,421.8,16851470,6453804.0
BRITANNIA,3460.0,3468.35,3437.0,3449.0,436187,208365.0
CIPLA,900.75,921.0,900.75,910.35,6459737,2004555.0
COALINDIA,127.4,134.6,127.0,133.05,27396950,6859319.0
DRREDDY,5140.0,5211.0,5125.15,5163.1,1306950,398563.0
EICHERMOT,2442.0,2470.25,2414.0,2421.65,646257,196649.0
GAIL,133.45,141.45,132.3,137.2,21349478,5417740.0
GRASIM,1342.0,1407.4,1333.0,1401.75,3261678,1445017.0
HCLTECH,905.0,915.0,895.4,898.95,10921664,6189272.0
HDFC,2503.1,2525.0,2411.1,2420.1,6024595,3839105.0
HDFCBANK,1445.0,1453.8,1407.5,1412.3,17616451,8982938.0
HEROHONDA,1768.0,1800.0,1741.0,1785.35,230939,118402.0
HEROMOTOCO,2834.8,2860.0,2805.0,2819.15,670258,302022.0
HINDALC0,140.25,142.85,140.2,142.0,1114088,493597.0
HINDALCO,368.9,377.0,361.3,364.4,19935239,4268054.0
HINDLEVER,197.7,199.75,195.35,198.8,1463890,860652.0
HINDUNILVR,2410.0,2442.9,2330.25,2353.75,4010778,2038288.0
ICICIBANK,610.1,616.35,598.1,600.5,23653258,7292392.0
INDUSINDBK,928.0,948.5,915.1,934.95,7301455,962818.0
INFOSYSTCH,2870.05,2876.85,2843.8,2865.3,560849,308568.0
INFY,1346.3,1373.9,1345.9,1354.35,8354677,5408113.0
IOC,88.6,93.1,88.0,90.85,29815698,6554327.0
ITC,203.9,205.7,202.0,202.6,16495657,8268973.0
JSWSTEEL,719.6,740.0,711.45,717.85,36449711,3416355.0
JSWSTL,297.0,299.0,294.95,296.5,371305,216658.0
KOTAKBANK,1780.0,1802.0,1739.45,1748.8,2621783,1075787.0
KOTAKMAH,145.0,148.0,144.9,146.25,19506,17184.0
LT,1350.0,1365.0,1336.1,1340.45,1968093,953902.0
M&M,768.4,778.4,750.45,752.55,4466148,2154503.0
MARUTI,6537.1,6559.6,6421.0,6455.65,849997,382594.0
MUNDRAPORT,131.5,136.4,130.65,135.5,2060690,1104897.0
NESTLEIND,16500.0,16569.2,16255.0,16309.25,97783,54977.0
NTPC,102.25,105.65,102.05,102.45,15321193,4597153.0
ONGC,104.15,112.7,103.3,108.15,81358264,15306987.0
POWERGRID,217.75,222.3,216.65,220.05,9504624,4634594.0
RELIANCE,2008.5,2036.0,1987.55,1994.5,9150974,3902504.0
SBIN,353.45,362.5,350.45,353.5,53832840,13261927.0
SESAGOA,177.8,190.7,177.1,188.15,13560045,4959986.0
SHREECEM,28340.0,28432.35,27808.15,27910.5,32147,11805.0
SSLT,226.0,229.4,216.0,220.15,6674219,2815219.0
SUNPHARMA,642.0,666.6,640.1,654.45,10874266,2412903.0
TATAMOTORS,298.2,301.3,292.55,293.85,36121668,7898988.0
TATASTEEL,1024.0,1052.6,1011.1,1034.0,28129738,3536863.0
TCS,3099.0,3132.05,3020.0,3035.65,3072305,1942473.0
TECHM,973.8,976.9,955.4,960.4,3129105,2104528.0
TELCO,432.0,436.8,429.5,430.95,2648516,488846.0
TISCO,377.6,382.6,373.05,379.0,5615514,1225364.0
TITAN,1500.0,1516.55,1471.0,1491.65,3691399,699586.0
ULTRACEMCO,6380.0,6424.0,6233.55,6278.95,475175,192320.0
UNIPHOS,156.5,159.9,155.75,157.8,2275657,646165.0
UPL,610.8,621.0,604.05,606.9,3072295,664774.0
UTIBANK,606.0,606.0,593.3,597.5,221303,105299.0
VEDL,255.05,266.2,252.55,257.25,21911292,5687812.0
WIPRO,491.5,511.8,489.3,492.75,29115571,5182914.0
ZEEL,185.3,190.95,183.65,185.6,11435285,3323909.0
ZEETELE,246.0,248.15,231.0,238.35,2745979,1687208.0
